Kain Tenun Ikat Lembaran Endek Bali|Bahan|165000|15|/img/tenun-bahan-01.jpg|/img/tenun-bahan-01.jpg|TN14|88|Tenun ikat asli, kualitas premium. Kain Tenun Ikat Lembaran Endek Bali. Ditenun tangan oleh perajin lokal Indonesia.
Kain Tenun Sumba Lembaran|Bahan|285000|9|/img/tenun-bahan-02.jpg|/img/tenun-bahan-02.jpg|TN15|47|Tenun ikat asli, kualitas premium. Kain Tenun Sumba Lembaran. Ditenun tangan oleh perajin lokal Indonesia.
Kain Tenun NTT Lembaran|Bahan|312000|7|/img/tenun-bahan-03.jpg|/img/tenun-bahan-03.jpg|TN16|33|Tenun ikat asli, kualitas premium. Kain Tenun NTT Lembaran. Ditenun tangan oleh perajin lokal Indonesia.
Kain Tenun Endek Bali Magenta|Bahan|178000|12|/img/tenun-bahan-04.jpg|/img/tenun-bahan-04.jpg|TN17|65|Tenun ikat asli, kualitas premium. Kain Tenun Endek Bali Magenta. Ditenun tangan oleh perajin lokal Indonesia.
Kain Tenun Blanket Troso|Bahan|225000|10|/img/tenun-bahan-05.jpg|/img/tenun-bahan-05.jpg|TN18|52|Tenun ikat asli, kualitas premium. Kain Tenun Blanket Troso. Ditenun tangan oleh perajin lokal Indonesia.
Kain Tenun Endek Bali Orange|Bahan|178000|11|/img/tenun-bahan-06.jpg|/img/tenun-bahan-06.jpg|TN19|58|Tenun ikat asli, kualitas premium. Kain Tenun Endek Bali Orange. Ditenun tangan oleh perajin lokal Indonesia.
Baju Tenun Anak Motif Sumba|Anak|195000|14|/img/tenun-anak-01.jpg|/img/tenun-anak-01.jpg|TN20|71|Tenun ikat asli, kualitas premium. Baju Tenun Anak Motif Sumba. Ditenun tangan oleh perajin lokal Indonesia.
Kemeja Tenun Anak Lombok|Anak|185000|13|/img/tenun-anak-02.jpg|/img/tenun-anak-02.jpg|TN21|60|Tenun ikat asli, kualitas premium. Kemeja Tenun Anak Lombok. Ditenun tangan oleh perajin lokal Indonesia.
Baju Tenun Anak Motif Flores|Anak|205000|9|/img/tenun-anak-03.jpg|/img/tenun-anak-03.jpg|TN22|43|Tenun ikat asli, kualitas premium. Baju Tenun Anak Motif Flores. Ditenun tangan oleh perajin lokal Indonesia.
Setelan Tenun Anak Troso|Anak|215000|8|/img/tenun-anak-04.jpg|/img/tenun-anak-04.jpg|TN23|37|Tenun ikat asli, kualitas premium. Setelan Tenun Anak Troso. Ditenun tangan oleh perajin lokal Indonesia.
Dress Tenun Ikat Wanita Troso|Dress|385000|7|/img/tenun-dress-01.jpg|/img/tenun-dress-01.jpg|TN24|49|Tenun ikat asli, kualitas premium. Dress Tenun Ikat Wanita Troso. Ditenun tangan oleh perajin lokal Indonesia.
Dress Tenun Wanita Klasik|Dress|420000|5|/img/tenun-dress-02.jpg|/img/tenun-dress-02.jpg|TN25|31|Tenun ikat asli, kualitas premium. Dress Tenun Wanita Klasik. Ditenun tangan oleh perajin lokal Indonesia.
Dress Tenun Ikat Wanita Modern|Dress|398000|6|/img/tenun-dress-03.jpg|/img/tenun-dress-03.jpg|TN26|40|Tenun ikat asli, kualitas premium. Dress Tenun Ikat Wanita Modern. Ditenun tangan oleh perajin lokal Indonesia.
Dress Tenun Endek Bali Wanita|Dress|445000|4|/img/tenun-dress-04.jpg|/img/tenun-dress-04.jpg|TN27|26|Tenun ikat asli, kualitas premium. Dress Tenun Endek Bali Wanita. Ditenun tangan oleh perajin lokal Indonesia.
Blouse Tenun Wanita Motif Troso|Blouse|352000|6|/img/tenun-blouse-01.jpg|/img/tenun-blouse-01.jpg|TN28|55|Tenun ikat asli, kualitas premium. Blouse Tenun Wanita Motif Troso. Ditenun tangan oleh perajin lokal Indonesia.
Blazer Tenun Ikat Jepara|Outer|565000|3|/img/tenun-outer-01.jpg|/img/tenun-outer-01.jpg|TN29|18|Tenun ikat asli, kualitas premium. Blazer Tenun Ikat Jepara. Ditenun tangan oleh perajin lokal Indonesia.
